-154,-189,-248,460,96,917,840,-35,-879,-118,-112,-863,-176,-34,-294,483
132,99,-319,-4,-14,-28,-499,-364,-57,51,-46,-259,235,332,-454,286
173,-354,98,-322,427,427,-441,310,310,-13,423,206,313,289,-482,558
45,395,-78,-224,-150,196,-193,130,-12,-651,-279,36,351,255,-241,371
-1,168,-69,442,-466,-47,442,443,-76,-14,242,105,144,343,-246,-91
213,-277,-289,263,-142,420,-1131,-56,-365,561,-259,-329,272,268,-121,-100
-522,-206,341,-206,21,142,-234,35,-237,-19,31,297,-201,77,240,-413
-285,-331,-263,441,-120,-142,-539,138,-529,-101,-134,44,38,51,-406,25
-127,141,-479,103,-53,-175,951,-376,388,186,-329,-20,374,79,-224,-400
282,-378,115,154,-18,526,-704,781,-208,-113,182,-8,376,-201,481,-653
